t	f
0	0.0
1	0.3573310625
2	0.7581158125
3	1.0581590625
4	1.1915478125
5	1.20040828125
6	1.195303125
7	1.1921121875
8	1.1960853125
9	1.1919309375
10	1.19255671875
11	1.210431875
12	1.2056996875
13	1.20520921875
14	1.2122128125
15	1.20231890625
16	1.19899796875
17	1.211910625
18	1.20203890625
19	1.229816875
20	1.21530171875
21	1.2034140625
22	1.20041109375
23	1.20281046875
24	1.200129375
25	1.19862203125
26	1.21045359375
27	1.2085265625
28	1.1948303125
29	1.16616671875
30	1.1662196875
31	1.053145625
32	0.98745125
33	1.010201875
34	0.9958975
35	1.00528
36	1.0019228125
37	0.99611609375
38	0.998260625
39	0.99830859375
40	1.01297984375
41	1.00072859375
42	1.00952890625
43	1.00453421875
44	1.000905625
45	1.00467171875
46	0.99963859375
47	1.0130146875
48	1.00595375
49	1.0065428125
50	0.99343046875
51	0.99746203125
52	1.0089728125
53	1.00054078125
54	1.01129765625
55	1.018506875
56	1.00027171875
57	1.005513125
58	1.00339625
59	0.99933859375
60	0.9999015625
61	0.9917828125
62	0.9927771875
63	1.007286875
64	0.99675859375
65	0.9975875
66	1.00435828125
67	0.99042375
68	1.013825625
69	1.00904390625
70	0.99294453125
